name,ref,status,discount,current_price,retailer
" TV LG LED UHD SMART 86"" ",86NANO776RA,En rupture du stock,,21999,Biougnach
" TV LG QNED UHD SMART 75"" ",75QNED916QA,En rupture du stock,,22999,Biougnach
" TV LG OLED UHD SMART 65"" ",OLED65A26LA,En rupture du stock,,23469,Biougnach
" TV LG OLED UHD SMART  65"" ",OLED65C9PVA,En rupture du stock,,32590,Biougnach
" TV LG LED UHD SMARET  82"" ",82UM7580PVA,En rupture du stock,,32990,Biougnach
" TV LG OLED SMART UHD 65"" ",OLED65GXPVA,En rupture du stock,,32990,Biougnach
" TV LG LED SUHD SMART 75"" ",75NANO90VNA,En rupture du stock,,32990,Biougnach
" TV LG OLED UHD SMART 77"" ",OLED77C36LA,En rupture du stock,,37999,Biougnach
" TV LG OLED UHD SMART  77"" ",OLED77C9PVB,En rupture du stock,,97490,Biougnach
Smart TV LG UHD UQ75 I 43 pouces I 4k Processeur IA α5 Gen5 I ThinQ AI,43UQ75006LG,,,4199,bousfiha
Smart TV LG UHD UR80 I 50 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,50UR80006LJ,,,4990,bousfiha
Smart TV LG Nanocell 77 I 65 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,65NANO776RA,,,9899,bousfiha
Smart TV LG UHD UR80 I 70 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,70UR80006LJ,,,9999,bousfiha
Smart TV LG UHD UR80 I 75 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,75UR80006LA,,,11299,bousfiha
Smart TV LG OLED CS3 I 55 pouces I 4K Processeur IA α9 Gen6 I ThinQ AI,OLED55CS3VA,,,12999,bousfiha
Smart TV LG Nanocell 77 I 75 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,75NANO776RA,,,13990,bousfiha
Smart TV LG OLED G3 I 65 pouces I 4K Processeur IA α9 Gen6 I ThinQ AI,OLED65G36LA,,,32799,bousfiha
TV LG LED 43P UHD 4K SMART AVEC WEBOS,43UP7550PVG,,,3990,bousfiha
TV LG LED 43P SMART UHD,43UQ80006LD,,,4499,bousfiha
Smart TV LG UHD UQ75 I 55 pouces I 4k Processeur IA α5 Gen5 I ThinQ AI,55UQ75006LG,,,4699,bousfiha
TV LG LED 50P SMART MODE HOTEL,50UR762H,,,4999,bousfiha
Smart TV LG Nanocell 77 I 50 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,50NANO776RA,,,5399,bousfiha
TV LG LED 50P SMART UHD 4K,50UQ91006LC,,,5899,bousfiha
TV LG LED 55P SMART MODE HOTEL,55UR762H,,,5999,bousfiha
TV LG LED 55P SMART UHD 4K,55UQ80006LD,,,5999,bousfiha
TV LG LED 55P UHD 4K SMART NANOCELL,55NANO796QA,,,6099,bousfiha
Smart TV LG Nanocell 77 I 55 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,55NANO776RA,,,6699,bousfiha
Smart TV LG UHD UR80 I 55 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,55UR80006LJ,,,6699,bousfiha
TV LG LED 65P UHD 4K SMART AVEC WEBOS,65UP7760PVB,,,7690,bousfiha
Smart TV LG UHD UR80 I 65 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,65UR80006LJ,,,8099,bousfiha
TV LG  70P SMART 4K ULTRA HD,70UQ80006LD,,,8490,bousfiha
TV LG LED 65P UHD 4K SMART NANOCELL,65NANO796QA,,,8499,bousfiha
TV LG 65P SMART 4K ULTRA HD,65UQ80006LD,,,8799,bousfiha
Smart TV LG QNED 81 I 55 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,55QNED816RA,,,9690,bousfiha
TV LG OLED 48P SMART 4K,OLED48A26LA,,,11699,bousfiha
TV LG OLED 55P SMART 4K CS,OLED55CS6LA,,,10199,bousfiha
Smart TV LG QNED 81 I 65 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,65QNED816RA,,,10999,bousfiha
SMART TV LED NANOCELL 75P UHD 4K,75NANO79VNE,,,14990,bousfiha
TV LG OLED 65P SMART 4K ULTRA HD,OLED65A26LA,,,13299,bousfiha
TV LG OLED 65P SMART 4K,OLED65CS6LA,,,17490,bousfiha
Smart TV LG UHD UR80 I 86 pouces I 4k Processeur IA α7 Gen6 I ThinQ AI,86UR80006LA,,,18490,bousfiha
TV LG QNED MINILED 75P UHD 4K,75QNED806QA,,,19990,bousfiha
TV LG OLED 55P SMART POSÉ  ULTRA HD,55LX1Q6LA,,,22199,bousfiha
TV LG QNED 75P SMART NANOCELL 4K,75QNED95VPA,,,35990,bousfiha
Smart TV LG OLED C3 I 77 pouces I 4K Processeur IA α9 Gen6 I ThinQ AI,OLED77C36LA,,,34690,bousfiha
